b,bb,g,path,r
15.9518235916,-13.6591203937,-2.06043603799,ANd9GcQgoESCyh78mLx-hZcuIXYI6n_Vz_BUWgrgT8QCAyIrkI0q4-GP.jpg,27.1918318466
16.1638381681,-20.9609423085,5.55811240966,ANd9GcQgQ-VQAuMOUKMf0EjIdR8zSrgr9pTWUkJdx5-YoD7p4UAm24Us.jpg,70.6715965046
4.70843159727,-9.45074899513,-2.38437109404,ANd9GcQgSTKxIMOWR8yPks47kYoRH3qnrOfCeicoBqpb-N6lhj4iU76jAA.jpg,41.8827932261
-11.2585229274,-5.74205873215,8.07305432442,ANd9GcQGuNARgogEzk3ijLHZS9WrkXg8AkDuXVLtaJUMM4FrlINsI6-d.jpg,23.7217617246
-9.08721941173,-7.38009319577,-3.56437130309,ANd9GcQgV4dJZnzDr6JHCRWDEwBe3a9cp_hoo9fbeZXNJLjzC5RePl4Fuw.jpg,55.0703724361
27.8612022293,-17.9439076509,-10.2551623766,ANd9GcQhbVM8cF4KBa_JbNfaoHB2FsHlr1jTzvuoY5HPqrDD9FPC5_aTEw.jpg,39.0843007513
-31.4481268852,-7.58518926078,-13.927263005,ANd9GcQHd24C1XCc_Yk0g2Co75Il2vnze29GXLZEj8x9ut76iFEb3SvIpw.jpg,62.4620665552
3.09039022211,10.706393265,3.5772863706,ANd9GcQhEuPWjen8rU1cxXFSxxghb-nnnPQ5aPRo-1nnsOt8VRE5pGCA.jpg,72.1485841474
7.29285367912,-2.68925275401,38.9282656703,ANd9GcQhJdJuTXjLtL2kX1DssvoyqX3NOAUeDryhvokO-w1jJl_0SCJ7aQ.jpg,33.3827958942
8.74538497259,-18.8655629902,-6.20254909056,ANd9GcQhkPQhWJ84zGDQm3zFaAgrjWNi75qA7vhqMriM9ghii_3RG6Yv6Q.jpg,47.7657239067
-10.5915495713,-9.94085912112,-7.2254386829,ANd9GcQHM_BeBTmDWzZLdByJREnsx2sG_I36mTZ2a13p7KyxVwReV5qfnw.jpg,42.4972513635
5.19965390946,-4.61278683205,5.41141902846,ANd9GcQHnV55FGsCXu1KyVOwBF91xKt7tcSmFDAtF26sDNBxtAqDpwKh.jpg,24.5678856377
-11.671692838,-6.25651688557,2.47410694634,ANd9GcQhtgoJuP0f8V9HiZBcOSvMpOnR199auPN3hHpb0i3cYwFkR7Bu.jpg,29.5665312751
14.5563598565,-9.53066769864,2.55463518033,ANd9GcQHVL5tsNxB2QUi6iSp-3rM2npU2TrgmtI3vXdSHCRv7EUVZRV6uQ.jpg,47.6853760513
17.0589941617,-9.30185242725,5.57266831617,ANd9GcQI2nttVJzHEK2dI6QAhhvffszcrElUVqNUqBWE4-ujlDPG4kaR.jpg,41.3276833887
26.9058811174,-20.1303263616,-2.30595447723,ANd9GcQIA8sGpTnIG2mQOeFxgwhKLOjYR-chqllD0gryM2CZXRyRSN4jXA.jpg,34.4317073239
-45.2556121024,-21.3640393856,-14.5666933008,ANd9GcQiFtxzAVVZt6GLVFkuHodHKeiooASlYpv-fgSqnqar6AvWX3KAEg.jpg,39.8729515562
-24.6777684296,-5.0431036333,-13.8455893032,ANd9GcQikmr2viXcTbVck9sUMN4TdxdBYUgT-Dmo3x1ywRTCjPiGllz_SA.jpg,50.7456618148
9.26338359689,-22.3615453459,12.7529945455,ANd9GcQilXJ9A-FWTxa6tYmOY-tVuPI3gy5JbwjlsIkUyeltauQ8hFej.jpg,56.4868968548
13.859360156,-7.06333433259,2.32505302367,ANd9GcQiMjgo7-6x1D5Jheta1ulJs1XsU7W1UcayFwL3uQw6CjP-5lO0.jpg,41.2352898478
18.3217526486,-11.8400179321,1.74985879568,ANd9GcQimnYyaYcQELr1XxKZTNzbuX_nVu7dNwk28XqEIUBva5olw47x.jpg,37.0088498066
-13.9090461593,-1.72381312726,-7.48472512431,ANd9GcQIRMBSTZZhuMak4d3Oh_qd93cLRlwwXjEf3ozWEOCFv2EH4wBa.jpg,62.1670432799
5.02260087677,-4.81228185654,1.90631107603,ANd9GcQIS2RU_PZq42U_GTFHX_1xiGrnivKj8cmSs3veQRqZd2eibWFZIw.jpg,25.9576897061
12.5629443537,-9.19826026647,-1.25483998716,ANd9GcQISE2C1lVHBv5TgZeqxBOmUFPjAfHbi2ISgqNwPoUGUOHVs9SJXw.jpg,21.9577937319
8.61235433282,-11.2762502218,-2.87296951084,ANd9GcQITCvs5-C0CmthmZqFivvB_IM2ueTvQhuOwUzATAO9JgIJA4n_mA.jpg,53.2663047224
13.0268706904,-4.62606063782,36.0602636799,ANd9GcQIVjs94krEQ8_R7iTkS4j15d0yc5xow7YY-RlxKpRTPQwvRWf3.jpg,30.2813692856
-43.2648414262,-13.3021662023,-17.0381988865,ANd9GcQiwXUivlncq-lw1R93qyNzqdaXNp6StkDzqxfdJ2UkZMuXmlZZBg.jpg,56.662858506
46.7402332043,-20.9024081545,46.0376521219,ANd9GcQj3sU9Gf4MfBQaOnrpAFByyMZqWuhONdRfC-TNPTofV8S21BgtYA.jpg,56.8619445353
-9.33616455394,-13.5604947586,-10.8374232631,ANd9GcQJ4MB9qjweZTs3qvix7YQGo1yZ7fwbAHxzncVffcEXlS-yVpiG.jpg,45.2936629259
18.260069103,-1.14474932581,34.835391182,ANd9GcQj6dnATgWgvI_5ajMhFMNi-YQ5F6gBETGanX53pf9arW08czGT.jpg,24.1230259047
8.4689559858,-19.3320861998,11.6430454341,ANd9GcQJ7Zh5SXGgX1bxuhDfJQYRnd-cqU96i8lvWm5GEKxM-5YX9FSIjw.jpg,42.5248874091
25.3356101208,-18.4371627812,-14.3611108368,ANd9GcQJDQ0mAGwOOV5vY2WyJ5LsbX3wpBFx0VsDW5_xFCCC-GXU016Lqg.jpg,54.897012004
-1.35672416756,-12.0308556147,-0.385792738234,ANd9GcQjKdI8HMvod2TuVkA7TAJZrtpYArEoYpnMrRIcDLX45mPnKG74.jpg,54.7330059916
38.052259687,-7.94944802079,65.0747281759,ANd9GcQJP3_kfFC9MPAgotTuv1aIQAXu0t78hsWWUjznxmkilhgnQzcv7w.jpg,47.1332575547
-37.3396914395,-4.76539143335,-25.4444675602,ANd9GcQjpKa2FnH-xBsTtCBl0s3VCW0KL3L14kq65czEpf9g-WHETwqY3g.jpg,77.3431942314
3.39459170696,-14.0003729744,-0.022240981818,ANd9GcQjPvS_LSPKiiwiczvZbbXNCqlpQK1nAbU5e_Nl1VFgb2fo7pqM.jpg,30.9102809878
-37.7704452441,-14.600803171,-22.7239986267,ANd9GcQjP_siJFh6XOr4X_Kw5UMv4VyfSmixaKP-ZKLG0lIDGb4EA_mA.jpg,53.4042102086
-4.11104883129,-2.06015893299,-2.44425101756,ANd9GcQjScigGm_U88xxwdEXfFdzCxDIDcpTL5FJKg72T6mI8Cta8s-J_A.jpg,58.5396528249
-24.7921037539,-12.2393097118,-15.1421852353,ANd9GcQJ_sQE2fknT5fM8OgP0pBbfVazEfnKsFT6FNQXwgKyPnc76a7r.jpg,67.4182269989
-1.16433597542,-12.6527445803,-0.554027860278,ANd9GcQk-WeL6N3tb6a79QiUQs-dDp-PI_Ye7dHviKjJAoj-IvN69rQiDg.jpg,29.7204339073
